project_name,onchain_status,stylus_usage,origin,categories
9lives-fluidity-money,"Onchain - Yes","Stylus Usage - Direct","Origin - Hybrid","Defi"
angel,"Onchain - No","Stylus Usage - Indirect","Origin - Hybrid","Dev Tooling, Research / Education"
arbos-foundry-bernard-wagner,"Onchain - No","Stylus Usage - Indirect","Origin - Stylus-Native","Dev Tooling, Security / Auditing"
fairblock,"Onchain - Yes","Stylus Usage - Direct","Origin - Established Project","Defi, Oracle / Data Infra, ZK / Cryptography"
enclave-gnosisguild,"Onchain - Partial","Stylus Usage - Indirect","Origin - Established Project","ZK / Cryptography, Security / Auditing, Dev Tooling"
cobuilders-xyz,"Onchain - Yes","Stylus Usage - Indirect","Origin - Stylus-Native","Dev Tooling"
opensource-observer,"Onchain - Partial","Stylus Usage - Indirect","Origin - Established Project","Dev Tooling, Research / Education"
passportxyz,"Onchain - Yes","Stylus Usage - Direct","Origin - Established Project","Dev Tooling, Security / Auditing"
redstone-finance,"Onchain - Yes","Stylus Usage - Direct","Origin - Established Project","Oracle / Data Infra, Defi"
remix-ethereum,"Onchain - No","Stylus Usage - Direct","Origin - Established Project","Dev Tooling, Research / Education"
trailofbits,"Onchain - No","Stylus Usage - Direct","Origin - Established Project","Security / Auditing, Dev Tooling"
stylusport-teamscanworks,"Onchain - No","Stylus Usage - Direct","Origin - Stylus-Native","Dev Tooling, Research / Education"
wakeuplabs,"Onchain - Partial","Stylus Usage - Direct","Origin - Stylus-Native","Dev Tooling, Research / Education"
fiet-protocol-usherlabs,"Onchain - Partial","Stylus Usage - Direct","Origin - Stylus-Native","Defi, Oracle / Data Infra, ZK / Cryptography"
third-web,"Onchain - No","Stylus Usage - Direct","Origin - Established Project","Dev Tooling, Social / Gaming / NFTs"
walnuthq,"Onchain - Partial","Stylus Usage - Direct","Origin - Stylus-Native","Dev Tooling, Security / Auditing"
pyth-network,"Onchain - Yes","Stylus Usage - Direct","Origin - Established Project","Oracle / Data Infra, ZK / Cryptography"
sylow-warlock-labs,"Onchain - Yes","Stylus Usage - Direct","Origin - Stylus-Native","ZK / Cryptography, Security / Auditing, Dev Tooling"
nuffle-labs,"Onchain - Yes","Stylus Usage - Indirect","Origin - Hybrid","Defi, ZK / Cryptography, Oracle / Data Infra"
syndicateprotocol,"Onchain - Partial","Stylus Usage - Indirect","Origin - Hybrid","Dev Tooling, Social / Gaming / NFTs"
ember-shahankhatch,"Onchain - Yes","Stylus Usage - Direct","Origin - Stylus-Native","Defi, Dev Tooling"
rather_labs,"Onchain - No","Stylus Usage - Indirect","Origin - Hybrid","Dev Tooling, ZK / Cryptography, Research / Education"
solang-hyperledger-solang,"Onchain - No","Stylus Usage - Indirect","Origin - Established Project","Dev Tooling, Research / Education"
runtimeverification,"Onchain - No","Stylus Usage - Direct","Origin - Stylus-Native","Dev Tooling, Security / Auditing"
codetracer-metacraft-labs,"Onchain - No","Stylus Usage - Direct","Origin - Stylus-Native","Dev Tooling, Security / Auditing"